threshold,fpr,tpr
0.0,1.0,1.0
0.01,1.0,1.0
0.02,0.69,0.94
0.03,0.35,0.94
0.04,0.21,0.91
0.05,0.16,0.87
0.06,0.13,0.82
0.07,0.11,0.82
0.08,0.1,0.82
0.09,0.08,0.82
0.1,0.07,0.82
0.11,0.07,0.81
0.12,0.06,0.81
0.13,0.05,0.81
0.14,0.05,0.8
0.15,0.05,0.79
0.16,0.05,0.79
0.17,0.04,0.79
0.18,0.04,0.79
0.19,0.03,0.78
0.2,0.03,0.77
0.21,0.03,0.77
0.22,0.03,0.77
0.23,0.03,0.77
0.24,0.03,0.74
0.25,0.03,0.74
0.26,0.03,0.74
0.27,0.03,0.74
0.28,0.03,0.74
0.29,0.03,0.74
0.3,0.02,0.74
0.31,0.02,0.73
0.32,0.02,0.73
0.33,0.02,0.73
0.34,0.02,0.72
0.35000000000000003,0.02,0.72
0.36,0.01,0.72
0.37,0.01,0.72
0.38,0.01,0.71
0.39,0.01,0.71
0.4,0.01,0.67
0.41000000000000003,0.01,0.66
0.42,0.01,0.66
0.43,0.01,0.66
0.44,0.01,0.66
0.45,0.01,0.64
0.46,0.01,0.64
0.47000000000000003,0.01,0.64
0.48,0.01,0.64
0.49,0.01,0.64
0.5,0.01,0.63
0.51,0.01,0.62
0.52,0.01,0.62
0.53,0.01,0.61
0.54,0.01,0.6
0.55,0.01,0.6
0.56,0.01,0.6
0.5700000000000001,0.01,0.6
0.58,0.01,0.6
0.59,0.01,0.6
0.6,0.01,0.6
0.61,0.01,0.6
0.62,0.01,0.6
0.63,0.01,0.6
0.64,0.01,0.59
0.65,0.01,0.58
0.66,0.01,0.57
0.67,0.01,0.57
0.68,0.01,0.56
0.6900000000000001,0.01,0.52
0.7000000000000001,0.01,0.52
0.71,0.01,0.51
0.72,0.01,0.51
0.73,0.0,0.51
0.74,0.0,0.51
0.75,0.0,0.5
0.76,0.0,0.5
0.77,0.0,0.5
0.78,0.0,0.5
0.79,0.0,0.49
0.8,0.0,0.46
0.81,0.0,0.46
0.8200000000000001,0.0,0.43
0.8300000000000001,0.0,0.42
0.84,0.0,0.42
0.85,0.0,0.41
0.86,0.0,0.39
0.87,0.0,0.37
0.88,0.0,0.36
0.89,0.0,0.34
0.9,0.0,0.31
0.91,0.0,0.29
0.92,0.0,0.28
0.93,0.0,0.26
0.9400000000000001,0.0,0.26
0.9500000000000001,0.0,0.21
0.96,0.0,0.19
0.97,0.0,0.17
0.98,0.0,0.12
0.99,0.0,0.06
1.0,0.0,0.0
